country_code,gci_overall,p_1_institutions,p_2_infrastructure,p_3_ict,p_4_macroeconomic,p_5_health,p_6_skills,p_7_product,p_8_labour,p_9_financial,p_10_market,p_11_business,p_12_innovation,gdp_us,gdp_growth_annual,gdp_per_capita_us,gdp_per_capita_growth_annual,gdp_per_capita_ppp,gdp_ppp,gdp_growth_decade,gini_index,unemployment_pctg,happiness_score,happiness_rank,ggi_index,ggi_rank,co2,consumption_co2_per_capita,ren_gen_twh_19,ren_gen_growth_19,rene_gen_growth_08_18,renewable_cons_exj,total_consumption,renewable_cons_prop,gsci_score,gsci_nat_cap_score,gsci_res_intense_score,gsci_soc_cap_score,gsci_intellect_cap_score,gsci_governance_score
BEL,76.61015539007471,69.77989716440455,86.49825864404983,66.09277308297877,100,94.10260976085905,79.53912178833333,64.33448948812048,64.4368604215235,78.38231237636597,68.94669455819209,73.82560777655678,73.38323961951217,543734366831.215,1.81229599862863,47583.0749405066,1.34991515111142,54330.2871936942,620835125597.852,1.562703052978382,27.4,6.01000022888184,6.923,18,0.738,32,100.208,15.436,18.60598244515918,0.10097117330858718,0.14740688169681038,0.18554230045464365,2.712698803199905,0.06839767844324537,52.126913774327996,31.487852619738607,47.841222343711934,60.50045126353789,59.930803146096466,60.874239498555106
BEN,44.39858876747354,45.10441683377985,41.01861444596436,19.98638599645611,71.6385,49.83479087440594,42.47844331138889,54.037406247160916,50.58565271480799,43.79554004147805,34.8918919866718,52.71329263028099,26.69813012728765,14250985958.6727,6.69725946087986,1240.82946441954,3.818777310836,3237.77368242688,37185986155.8095,4.547199244167757,47.8,2.53999996185303,4.883,102,0.654,118,7.76,0.798,NA,NA,NA,NA,NA,NA,40.786803737641094,42.42873373574783,55.003153082137786,36.01551455163475,24.481483800649528,46.005133518035564
BOL,51.39667601916563,41.21206264576728,56.21156098319164,45.73961521396688,73.068375,74.98884139127155,56.64609860166667,48.45312620603826,47.52526885025625,54.83806965987619,46.17129860040264,44.95984289040454,26.94595218714564,40287647930.4761,4.22362351118875,3548.59015508448,2.75215454115727,8866.37883394526,100661257927.575,4.916623203507373,42.2,5.6100001335144,5.779,61,0.748,25,22.346,1.936,NA,NA,NA,NA,NA,NA,50.010982993026865,64.09189504497688,53.814935015088885,43.60920577617326,38.59196420627017,49.9469149226251
BIH,54.15512388451868,45.57914395627214,60.72246155212083,45.8238772638103,74.42152777777778,85.3045061026525,57.53490708638889,51.56627236153909,51.18176642906773,55.084248852196,41.75455724576359,52.71122555620053,28.17699243043477,20183510561.2553,3.74007109201324,6072.18462285304,4.60140672282768,15387.584281639,51147237633.6842,1.961947646978002,33,16.8500003814697,5.386,78,0.712,62,NA,NA,NA,NA,NA,NA,NA,NA,50.46699781396087,60.10887431901303,42.60363377591208,52.46916365824307,43.10791800734148,54.045399309294694
BWA,54.53541055287048,54.70878298818606,53.91615373457188,41.96152203721489,100,51.88112377643095,56.72700851791665,53.10474485013189,60.45553367754913,59.46876473865737,38.57747991126415,52.97762297630663,30.64618942621618,18663265549.0196,4.47883655345764,8279.60173877574,2.20777715684612,18063.7639328552,40717999938.9111,4.949940250098021,53.3,17.7000007629395,3.488,148,0.715,55,6.815,7.972,NA,NA,NA,NA,NA,NA,42.213234692901025,41.57780298861855,43.9654737505912,35.608848966978094,40.29201565444833,49.62203210386895
BRA,59.5074453033107,49.68122886642237,64.32980148843487,55.58788972870436,64.55768055555556,79.6263119897978,55.98778661555555,48.93025300489293,51.02677236561537,63.15108996688642,80.93429164483018,52.44079205271014,47.83544536032299,1885482534238.33,1.31722399870793,9001.23424863499,0.526155826049262,14951.8109956354,3131945876397.82,1.4167795946435442,53.9,13.6700000762939,6.3,32,0.681,95,466.649,2.334,117.650277296403,0.10250010013564248,0.16919158932928724,2.0241060776006146,12.403434343333867,0.163189163708393,49.05087621189602,64.76364457468442,52.0121930318761,39.849578820697936,45.60093387101317,43.02803076120845
BRN,61.4285783770839,58.28713501472578,71.30565090734378,76.2342437497588,73.70277777777778,85.86779423942188,65.95301463638889,60.92670043002202,64.178121134301,51.24566019276681,36.97718910075869,58.53592076346621,33.9287325782753,13567351175.0315,0.0522377907767719,31628.3287914349,-0.99478850862225,61859.9779118091,26535579845.0055,0.12592039557432247,NA,8.36999988555908,NA,NA,0.686,90,9.56,23.16,NA,NA,NA,NA,NA,NA,47.04447822329978,47.66040198096457,42.36150086709756,50.17268351383874,51.4496230094039,43.5781817451941
BGR,63.55997367305849,53.56133060983361,69.93841844407437,69.55264146718034,89.21180555555556,79.98747617427875,64.70435941541666,56.70260604814369,62.00246930992158,58.17420307007463,54.62673767119944,60.32587500910807,43.93176130191524,66230155099.5775,3.09244765360886,9427.73043039881,3.83955211868788,23634.1733970566,166030942578.739,2.209701099718025,40.4,5.71000003814697,5.011,97,0.756,18,43.552,5.551,NA,NA,NA,NA,NA,NA,51.56921096271352,56.07509266159783,43.227828287721586,47.18060932310355,49.434603262446075,61.92792127869854
BFA,43.89803312471886,50.59688826704407,37.8876836520779,26.15914281290647,73.75608333333334,40.40186397494156,31.68423583138888,52.27025424475092,51.64833981438864,47.59104586739542,38.28081522570717,51.57758478327187,24.92245968942023,16059910870.6239,6.73123560805429,813.096848960038,3.71461846870629,2171.97396576064,42899819803.8102,6.0505419499899755,35.3,4.96000003814697,4.587,115,0.629,129,4.14,0.273,NA,NA,NA,NA,NA,NA,42.435903667821584,46.06128989654288,55.938199590099316,44.29978941034897,24.469323293672616,41.410916148444116
BDI,37.52763496572845,36.31180431607136,36.55511496017661,18.42871369580805,56.49122222222222,42.21896091312218,32.87634419555556,45.56070768642565,44.47337928117793,42.19356922353072,22.58018943616825,48.80674068740852,23.83487297107432,3036931818.18182,1.60993308234522,271.752044376648,-1.55740735383216,780.074937173306,8717632291.23795,2.2642489912653954,38.6,0.800000011920929,3.775,145,0.741,31,NA,NA,NA,NA,NA,NA,NA,NA,38.40991642046168,44.000927723504645,59.95995585685007,34.585589651022865,22.401757327521715,31.101351543409066
KHM,50.1852772938507,41.91444126638924,51.67181199720468,44.38473982927199,74.409125,62.86200068527749,40.9916240313889,50.03729202553507,59.68272474020062,53.60602253012175,46.1709978775117,45.30419302739171,31.18835451591512,24571753583.4922,7.469169206999,1512.12670972847,5.87937290487541,4260.6589650485,69234847528.9271,7.023392876323761,NA,0.310000002384186,4.7,109,0.683,93,15.479,1.215,NA,NA,NA,NA,NA,NA,45.86642460482099,59.54490041050339,53.06195806400756,40.00706979542718,23.295772160575346,53.422422593591484
CMR,45.09942938304439,42.98722855975293,42.05452161251944,21.97730132008649,74.28075,39.03254393434625,47.39756792138889,51.11631190511548,51.89667708338015,44.95137891088171,46.02168576663536,50.32840145751212,29.14878412491376,38694156862.9922,4.06248684068682,1534.49370193468,1.37927140120948,3691.33429266919,93081560370.1737,4.5883215896892935,46.6,3.61999988555908,5.044,96,0.714,57,7.567,0.432,NA,NA,NA,NA,NA,NA,45.97780136181258,64.95244983718062,60.159230647958374,39.33212996389891,24.709528910321946,40.735667449703044
CAN,79.92199295786679,75.49083830503707,80.6487223126486,68.64911697380857,100,97.49746529630468,81.03320043680556,64.85437568763487,77.04314265047319,86.14510963197932,76.70897335781879,75.97610214930589,75.01686869258484,1716262621082.22,2.01363918733426,46313.1713712961,0.597463532971702,50939.392593709,1887700039980.41,2.226966387156541,33.3,9.47999954223633,7.278,9,0.771,16,586.505,15.871,49.29581165665162,0.04322686261579989,0.1414801212700696,0.523399026366713,14.214057567156793,0.036822633079528704,51.28320174327192,60.602053655264925,37.1379473435283,50.77288353662913,55.37796137085117,52.525162810086044
CPV,50.18516211015324,51.48893645272699,54.66365496719502,48.06147001005955,68.87222222222222,75.56729065951595,53.30769536722222,52.79643840560316,57.63504505399209,57.28098428346602,17.14916734268576,43.95489771427973,21.44414284287034,1966983316.56524,4.53116168333302,3617.32748873182,3.32584693684328,7031.35818821982,3823420547.93373,2.430829008206159,42.4,13.4099998474121,NA,NA,0.702,72,NA,NA,NA,NA,NA,NA,NA,NA,42.97543079345852,46.317344669625825,41.03767933154658,47.62496833238328,35.57182111691369,44.325340516823225
