year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,quality_score
1973,DNK,EFConsTotGHA,6275771.733,328676.0917,4814520.039,7389481.457,743808.5256,26678275.22,46230533.07,3A
1973,DNK,EFProdPerCap,1.708141414,0.011179993,0.299749371,2.063378507,0.148250242,4.145958345,8.376657871,3A
1973,DNK,EFProdTotGHA,8570172.507,56092.818,1503917.531,10352485.82,743808.5256,20801309.5,42027786.7,3A
1974,DNK,AreaPerCap,0.671386936,0.028737347,0.106982617,1.976263498,0.058842863,0,2.842213261,3A
1974,DNK,AreaTotHA,3384743.473,144877.0328,539344.2974,9963174.171,296651.5837,0,14328790.56,3A
1974,DNK,BiocapPerCap,1.863820538,0.010612703,0.411397373,2.074387449,0.163352206,0,4.523570269,3A
1974,DNK,BiocapTotGHA,9396301.992,53503.09281,2074026.912,10457858.21,823527.0677,0,22805217.27,3A
1974,DNK,EFConsPerCap,1.378046704,0.049016574,0.734221024,2.080603088,0.163352206,4.5737364,8.978975997,3A
1974,DNK,EFConsTotGHA,6947312.109,247113.1322,3701516.497,10489193.86,823527.0677,23058125.8,45266788.47,3A
1974,DNK,EFProdPerCap,1.863820538,0.010612703,0.214648108,2.723823372,0.163352206,3.620868653,8.59712558,3A
1974,DNK,EFProdTotGHA,9396301.992,53503.09281,1082131.248,13731937.41,823527.0677,18254319.36,43341720.17,3A
1975,DNK,AreaPerCap,0.6695471,0.028681659,0.106532306,1.967945004,0.058842863,0,2.831548932,3A
1975,DNK,AreaTotHA,3389736.177,145207.4929,539344.2974,9963174.171,297905.5289,0,14335367.67,3A
1975,DNK,BiocapPerCap,1.667548455,0.010586612,0.409852708,2.064578416,0.14655179,0,4.299117981,3A
1975,DNK,BiocapTotGHA,8442347.556,53597.15909,2074973.592,10452403.04,741952.1408,0,21765273.49,3A
1975,DNK,EFConsPerCap,0.976924546,0.067087898000000007,0.586656979,1.732932348,0.14655179,4.536856119,8.04700968,3A
1975,DNK,EFConsTotGHA,4945905.188,339647.9133,2970085.877,8773368.55,741952.1408,22968877.49,40739837.16,3A
1975,DNK,EFProdPerCap,1.667548455,0.010586612,0.213616059,2.277054436,0.14655179,3.742171833,8.057529185,3A
1975,DNK,EFProdTotGHA,8442347.556,53597.15909,1081480.426,11528111.76,741952.1408,18945605.53,40793094.57,3A
1976,DNK,AreaPerCap,0.668857883,0.0282532,0.106143601,1.960764559,0.058842841,0,2.822862084,3A
1976,DNK,AreaTotHA,3398647.506,143562.139,539344.2974,9963174.171,298996.3631,0,14343724.48,3A
1976,DNK,BiocapPerCap,1.426893179,0.010415259,0.408341211,2.054440385,0.125531074,0,4.025621107,3A
1976,DNK,BiocapTotGHA,7250429.53,52922.74156,2074891.952,10439166.33,637857.282,0,20455267.84,3A
1976,DNK,EFConsPerCap,1.080528626,0.086000168,0.754833267,2.201669635,0.125531074,5.228777421,9.477340191,3A
1976,DNK,EFConsTotGHA,5490457.715,436990.0754,3835511.648,11187277.91,637857.282,26568829.95,48156924.58,3A
1976,DNK,EFProdPerCap,1.426893179,0.010415259,0.250406887,3.005453497,0.125531074,4.179572344,8.998272239,3A
1976,DNK,EFProdTotGHA,7250429.53,52922.74156,1272385.008,15271520.75,637857.282,21237535.65,45722650.96,3A
1977,DNK,AreaPerCap,0.662110307,0.028462803,0.105815197,1.954698039,0.058842931,0,2.809929279,3A
1977,DNK,AreaTotHA,3374802.747,145076.0486,539344.2974,9963174.171,299924.7761,0,14322322.04,3A
1977,DNK,BiocapPerCap,1.832890425,0.010540907,0.407112487,2.057527535,0.162892261,0,4.470963615,3A
1977,DNK,BiocapTotGHA,9342315.883,53727.42358,2075068.648,10487300.23,830268.3771,0,22788680.56,3A
1977,DNK,EFConsPerCap,1.414924069,0.071875786,0.717660726,1.658431666,0.162892261,5.290818593,9.316603101,3A
1977,DNK,EFConsTotGHA,7211924.633,366353.7582,3657945.456,8453092.602,830268.3771,26967514.21,47487099.03,3A
1977,DNK,EFProdPerCap,1.832890425,0.010540907,0.241463097,2.214865351,0.162892261,4.285601266,8.748253307,3A
1977,DNK,EFProdTotGHA,9342315.883,53727.42358,1230747.075,11289257.37,830268.3771,21843881.24,44590197.38,3A
1978,DNK,AreaPerCap,0.661649706,0.028063146,0.105553234,1.949858854,0.058842875,0,2.803967815,3A
1978,DNK,AreaTotHA,3380824.849,143393.9769,539344.2974,9963174.171,300668.8454,0,14327406.14,3A
1978,DNK,BiocapPerCap,1.751811046,0.010408379,0.40547032,2.05549103,0.155794822,0,4.378975596,3A
1978,DNK,BiocapTotGHA,8951211.281,53183.5887,2071827.613,10502921.84,796063.2335,0,22375207.56,3A
1978,DNK,EFConsPerCap,1.186716383,0.073347451,0.776252983,1.586012124,0.155794822,5.348321455,9.126445219,3A
1978,DNK,EFConsTotGHA,6063752.767,374782.7327,3966412.062,8104030.198,796063.2335,27328264.34,46633305.34,3A
1978,DNK,EFProdPerCap,1.751811046,0.010408379,0.267286729,2.070802629,0.155794822,4.215562199,8.471665803,3A
1978,DNK,EFProdTotGHA,8951211.281,53183.5887,1365752.312,10581159.36,796063.2335,21540215.76,43287585.54,3A
1979,DNK,AreaPerCap,0.661498023,0.027871375,0.105367231,1.946321468,0.058842841,0,2.799900939,3A
1979,DNK,AreaTotHA,3386016.52,142665.4852,539344.2974,9962655.086,301199.4369,0,14331880.82,3A
1979,DNK,BiocapPerCap,1.917175796,0.01035489,0.404858871,2.055331386,0.170540299,0,4.558261242,3A
1979,DNK,BiocapTotGHA,9813466.842,53003.6807,2072355.137,10520645.24,872946.3279,0,23332417.22,3A
1979,DNK,EFConsPerCap,1.310529798,0.077681416,0.799636166,1.499951361,0.170540299,5.644108722,9.502447762,3A
1979,DNK,EFConsTotGHA,6708221.931,397628.6361,4093105.606,7677815.972,872946.3279,28890555.54,48640274.01,3A
1979,DNK,EFProdPerCap,1.917175796,0.01035489,0.271672116,2.096832324,0.170540299,4.501144129,8.967719554,3A
1979,DNK,EFProdTotGHA,9813466.842,53003.6807,1390610.766,10733076.5,872946.3279,23040051.29,45903155.41,3A
1980,DNK,AreaPerCap,0.660077483,0.027416404,0.105259684,1.944334867,0.058842931,0,2.795931369,3A
1980,DNK,AreaTotHA,3382197.379,140480.0099,539344.2974,9962655.086,301507.6437,0,14326184.42,3A
1980,DNK,BiocapPerCap,1.739873629,0.010185223,0.402461444,2.053105455,0.155101888,0,4.360727639,3A
1980,DNK,BiocapTotGHA,8915007.983,52188.46845,2062188.27,10519989.05,794732.7578,0,22344106.53,3A
1980,DNK,EFConsPerCap,1.174077522,0.096750003,0.725417675,1.627353578,0.155101888,5.081277033,8.859977699,3A
1980,DNK,EFConsTotGHA,6015902.712,495741.2034,3716996.598,8338461.997,794732.7578,26036158.34,45397993.61,3A
1980,DNK,EFProdPerCap,1.739873629,0.010185223,0.278610259,2.131832971,0.155101888,4.406806062,8.722410031,3A
1980,DNK,EFProdTotGHA,8915007.983,52188.46845,1427582.236,10923384.11,794732.7578,22580209.59,44693105.14,3A
1981,DNK,AreaPerCap,0.659405579,0.027192344,0.105231756,1.943818989,0.058842852,0,2.79449152,3A
1981,DNK,AreaTotHA,3379651.285,139368.9134,539344.2974,9962655.086,301587.2597,0,14322606.84,3A
1981,DNK,BiocapPerCap,1.846929648,0.010121369,0.40251184,2.056499491,0.164812995,0,4.480875344,3A
1981,DNK,BiocapTotGHA,9466068.166,51875.05022,2062993.854,10540176.44,844716.0129,0,22965829.52,3A
1981,DNK,EFConsPerCap,1.384672633,0.115358823,0.669637158,1.692322248,0.164812995,4.467018448,8.493822306,3A
1981,DNK,EFConsTotGHA,7096862.376,591248.5511,3432091.195,8673658.888,844716.0129,22894808.78,43533385.8,3A
1981,DNK,EFProdPerCap,1.846929648,0.010121369,0.284041615,2.349952235,0.164812995,3.606406982,8.262264844,3A
1981,DNK,EFProdTotGHA,9466068.166,51875.05022,1455798.431,12044209.73,844716.0129,18483917,42346584.39,3A
1982,DNK,AreaPerCap,0.65791716200000006,0.027051257,0.105271802,1.944558716,0.058842864,0,2.7936418,3A
1982,DNK,AreaTotHA,3370739.957,138593.0584,539344.2974,9962655.086,301472.5908,0,14312804.99,3A
1982,DNK,BiocapPerCap,2.040479078,0.010014141,0.403082839,2.046103033,0.18249658,0,4.682175671,3A
1982,DNK,BiocapTotGHA,10454088.68,51305.95156,2065134.501,10482902.18,934993.8708,0,23988425.18,3A
1982,DNK,EFConsPerCap,1.495334795,0.089495389,0.811980901,1.779325526,0.18249658,4.3995995,8.758232692,3A
1982,DNK,EFConsTotGHA,7661123.669,458516.2097,4160062.429,9116107.609,934993.8708,22540688.53,44871492.32,3A
1982,DNK,EFProdPerCap,2.040479078,0.010014141,0.495674502,2.429037949,0.18249658,3.700329455,8.858031705,3A
1982,DNK,EFProdTotGHA,10454088.68,51305.95156,2539514.009,12444811.81,934993.8708,18958083.27,45382797.6,3A
1983,DNK,AreaPerCap,0.650144415,0.026569192,0.105348711,1.945979352,0.058842841,0,2.78688451,3A
1983,DNK,AreaTotHA,3328485.758,136023.8957,539344.2974,9962655.086,301252.3898,0,14267761.43,3A
1983,DNK,BiocapPerCap,1.615093009,0.009811176,0.403458663,2.042495611,0.146177771,0,4.217036229,3A
1983,DNK,BiocapTotGHA,8268646.097,50229.3945,2065550.952,10456780.67,748373.1575,0,21589580.27,3A
1983,DNK,EFConsPerCap,1.073929421,0.104758152,0.759056056,1.682020693,0.146177771,4.11249749,7.878439583,3A
1983,DNK,EFConsTotGHA,5498099.655,536320.8663,3886070.87,8611289.732,748373.1575,21054382.71,40334536.99,3A
1983,DNK,EFProdPerCap,1.615093009,0.009811176,0.390740319,2.361429791,0.146177771,3.436539545,7.959791611,3A
1983,DNK,EFProdTotGHA,8268646.097,50229.3945,2000437.992,12089599.25,748373.1575,17593741.75,40751027.64,3A
1984,DNK,AreaPerCap,0.65469155,0.026453557,0.105421807,1.94732958,0.058842852,0,2.792739347,3A
1984,DNK,AreaTotHA,3349441.291,135337.9857,539344.2974,9962655.086,301043.5665,0,14287822.23,3A
1984,DNK,BiocapPerCap,2.419283948,0.009705275,0.403489242,2.030688942,0.217442196,0,5.080609603,3A
1984,DNK,BiocapTotGHA,12377201.98,49652.77002,2064275.198,10389126.59,1112447.331,0,25992703.86,3A
1984,DNK,EFConsPerCap,1.633163418,0.126307833,0.812896159,1.661660833,0.217442196,4.334954249,8.786424688,3A
1984,DNK,EFConsTotGHA,8355362.132,646198.4616,4158825.572,8501156.619,1112447.331,22177886.29,44951876.41,3A
1984,DNK,EFProdPerCap,2.419283948,0.009705275,0.339525368,2.29760132,0.217442196,3.566108954,8.849667059,3A
1984,DNK,EFProdTotGHA,12377201.98,49652.77002,1737032.173,11754666.34,1112447.331,18244427.58,45275428.17,3A
1985,DNK,AreaPerCap,0.651554339,0.026113467,0.10545932,1.948022508,0.058842908,0,2.789992542,3A
1985,DNK,AreaTotHA,3332205.416,133550.5421,539344.2974,9962655.086,300936.7701,0,14268692.11,3A
1985,DNK,BiocapPerCap,2.244311843,0.009530267,0.403015315,2.020759713,0.202687372,0,4.88030451,3A
1985,DNK,BiocapTotGHA,11477949.93,48740.07465,2061117.138,10334650.63,1036591.911,0,24959049.68,3A
1985,DNK,EFConsPerCap,1.288558491,0.133967269,0.82231245,1.597492838,0.202687372,4.696048971,8.74106739,3A
1985,DNK,EFConsTotGHA,6589997.679,685140.7992,4205503.418,8169962.144,1036591.911,24016722.59,44703918.54,3A
1985,DNK,EFProdPerCap,2.244311843,0.009530267,0.297706973,2.240811747,0.202687372,4.091454598,9.0865028,3A
1985,DNK,EFProdTotGHA,11477949.93,48740.07465,1522544.979,11460049.59,1036591.911,20924681.72,46470558.21,3A
1986,DNK,AreaPerCap,0.648810566,0.025892004,0.105450662,1.947862572,0.058842841,0,2.786858644,3A
1986,DNK,AreaTotHA,3318445.549,132428.8001,539344.2974,9962655.086,300961.1348,0,14253834.87,3A
1986,DNK,BiocapPerCap,2.259396267,0.009384061,0.401871439,2.006613128,0.204912347,0,4.882177243,3A
