country_code,category,indicator,value
IDN,se,gini_index,37.8
IDN,se,unemployment_pctg,4.1100001335144
IDN,se,happiness_score,5.192
IDN,se,happiness_rank,92
IDN,se,ggi_index,0.691
IDN,se,ggi_rank,85
IRN,se,gini_index,40.8
IRN,se,unemployment_pctg,10.960000038147
IRN,se,happiness_score,4.548
IRN,se,happiness_rank,117
IRN,se,ggi_index,0.589
IRN,se,ggi_rank,142
IRQ,se,gini_index,29.5
IRQ,se,unemployment_pctg,13.7399997711182
IRQ,se,happiness_score,4.437
IRQ,se,happiness_rank,126
IRQ,se,ggi_index,0.551
IRQ,se,ggi_rank,147
IRL,se,gini_index,32.8
IRL,se,unemployment_pctg,5.92000007629395
IRL,se,happiness_score,7.021
IRL,se,happiness_rank,16
IRL,se,ggi_index,0.796
IRL,se,ggi_rank,9
ISR,se,gini_index,39
ISR,se,unemployment_pctg,4.6100001335144
ISR,se,happiness_score,7.139
ISR,se,happiness_rank,13
ISR,se,ggi_index,0.722
ISR,se,ggi_rank,46
ITA,se,gini_index,35.9
ITA,se,unemployment_pctg,9.3100004196167
ITA,se,happiness_score,6.223
ITA,se,happiness_rank,36
ITA,se,ggi_index,0.706
ITA,se,ggi_rank,70
JAM,se,unemployment_pctg,8.39999961853027
JAM,se,happiness_score,5.89
JAM,se,happiness_rank,56
JAM,se,ggi_index,0.724
JAM,se,ggi_rank,44
JPN,se,gini_index,32.9
JPN,se,unemployment_pctg,2.97000002861023
JPN,se,happiness_score,5.886
JPN,se,happiness_rank,58
JPN,se,ggi_index,0.662
JPN,se,ggi_rank,110
JOR,se,gini_index,33.7
JOR,se,unemployment_pctg,18.5
JOR,se,happiness_score,4.906
JOR,se,happiness_rank,101
JOR,se,ggi_index,0.605
JOR,se,ggi_rank,138
KAZ,se,gini_index,27.5
KAZ,se,unemployment_pctg,6.05000019073486
KAZ,se,happiness_score,5.809
KAZ,se,happiness_rank,60
KAZ,se,ggi_index,0.712
KAZ,se,ggi_rank,60
KEN,se,gini_index,40.8
KEN,se,unemployment_pctg,2.98000001907349
KEN,se,happiness_score,4.509
KEN,se,happiness_rank,121
KEN,se,ggi_index,0.7
KEN,se,ggi_rank,76
KOR,se,gini_index,31.6
KOR,se,unemployment_pctg,4.07000017166138
KOR,se,happiness_score,5.895
KOR,se,happiness_rank,54
KOR,se,ggi_index,0.657
KOR,se,ggi_rank,115
KWT,se,unemployment_pctg,6.78999996185303
KWT,se,happiness_score,6.021
KWT,se,happiness_rank,51
KWT,se,ggi_index,0.63
KWT,se,ggi_rank,126
KGZ,se,gini_index,27.7
KGZ,se,unemployment_pctg,7.8899998664856
KGZ,se,happiness_score,5.261
KGZ,se,happiness_rank,86
KGZ,se,ggi_index,0.691
KGZ,se,ggi_rank,86
LAO,se,gini_index,36.4
LAO,se,unemployment_pctg,0.949999988079071
LAO,se,happiness_score,4.796
LAO,se,happiness_rank,105
LAO,se,ggi_index,0.748
LAO,se,ggi_rank,26
LVA,se,gini_index,35.6
LVA,se,unemployment_pctg,8.1899995803833
LVA,se,happiness_score,5.94
LVA,se,happiness_rank,53
LVA,se,ggi_index,0.758
LVA,se,ggi_rank,17
LBN,se,gini_index,31.8
LBN,se,unemployment_pctg,6.6100001335144
LBN,se,happiness_score,5.197
LBN,se,happiness_rank,91
LBN,se,ggi_index,0.595
LBN,se,ggi_rank,140
LSO,se,gini_index,44.9
LSO,se,unemployment_pctg,24.6499996185303
LSO,se,happiness_score,3.802
LSO,se,happiness_rank,144
LSO,se,ggi_index,0.693
LSO,se,ggi_rank,81
LBR,se,gini_index,35.3
LBR,se,unemployment_pctg,3.29999995231628
LBR,se,happiness_score,3.975
LBR,se,happiness_rank,141
LBR,se,ggi_index,0.681
LBR,se,ggi_rank,96
LBY,se,unemployment_pctg,19.3899993896484
LBY,se,happiness_score,5.525
LBY,se,happiness_rank,72
LTU,se,gini_index,37.3
LTU,se,unemployment_pctg,8.43000030517578
LTU,se,happiness_score,6.149
LTU,se,happiness_rank,42
LTU,se,ggi_index,0.749
LTU,se,ggi_rank,24
LUX,se,gini_index,34.9
LUX,se,unemployment_pctg,6.96000003814697
LUX,se,happiness_score,7.09
LUX,se,happiness_rank,14
LUX,se,ggi_index,0.712
LUX,se,ggi_rank,61
MDG,se,gini_index,42.6
MDG,se,unemployment_pctg,1.91999995708466
MDG,se,happiness_score,3.933
MDG,se,happiness_rank,143
MDG,se,ggi_index,0.691
MDG,se,ggi_rank,84
MWI,se,gini_index,44.7
MWI,se,unemployment_pctg,5.98999977111816
MWI,se,happiness_score,3.41
MWI,se,happiness_rank,150
MWI,se,ggi_index,0.662
MWI,se,ggi_rank,112
MYS,se,gini_index,41
MYS,se,unemployment_pctg,4.55000019073486
MYS,se,happiness_score,5.339
MYS,se,happiness_rank,80
MYS,se,ggi_index,0.676
MYS,se,ggi_rank,101
MLI,se,unemployment_pctg,7.5
MLI,se,happiness_score,4.39
MLI,se,happiness_rank,128
MLI,se,ggi_index,0.582
MLI,se,ggi_rank,143
MLT,se,gini_index,29.2
MLT,se,unemployment_pctg,4.09000015258789
MLT,se,happiness_score,6.726
MLT,se,happiness_rank,22
MLT,se,ggi_index,0.686
MLT,se,ggi_rank,91
MRT,se,gini_index,32.6
MRT,se,unemployment_pctg,10.6599998474121
MRT,se,happiness_score,4.49
MRT,se,happiness_rank,122
MRT,se,ggi_index,0.607
MRT,se,ggi_rank,136
MUS,se,gini_index,36.8
MUS,se,unemployment_pctg,7.1100001335144
MUS,se,happiness_score,5.888
MUS,se,happiness_rank,57
MUS,se,ggi_index,0.663
MUS,se,ggi_rank,109
MEX,se,gini_index,45.4
MEX,se,unemployment_pctg,4.71000003814697
MEX,se,happiness_score,6.595
MEX,se,happiness_rank,23
MEX,se,ggi_index,0.721
MEX,se,ggi_rank,50
MDA,se,gini_index,25.7
MDA,se,unemployment_pctg,4.71000003814697
MDA,se,happiness_score,5.529
MDA,se,happiness_rank,71
MDA,se,ggi_index,0.733
MDA,se,ggi_rank,35
MNG,se,gini_index,32.7
MNG,se,unemployment_pctg,4.32999992370605
MNG,se,happiness_score,5.285
MNG,se,happiness_rank,83
MNG,se,ggi_index,0.714
MNG,se,ggi_rank,58
MNE,se,gini_index,39
MNE,se,unemployment_pctg,15.8599996566772
MNE,se,happiness_score,5.523
MNE,se,happiness_rank,73
MNE,se,ggi_index,0.706
MNE,se,ggi_rank,69
MAR,se,gini_index,39.5
MAR,se,unemployment_pctg,10.1499996185303
MAR,se,happiness_score,5.208
MAR,se,happiness_rank,89
MAR,se,ggi_index,0.607
MAR,se,ggi_rank,137
MOZ,se,gini_index,54
MOZ,se,unemployment_pctg,3.39000010490417
MOZ,se,happiness_score,4.466
MOZ,se,happiness_rank,123
MOZ,se,ggi_index,0.721
MOZ,se,ggi_rank,49
MMR,se,gini_index,30.7
MMR,se,unemployment_pctg,1.78999996185303
MMR,se,happiness_score,4.36
MMR,se,happiness_rank,131
MMR,se,ggi_index,0.69
MMR,se,ggi_rank,88
NAM,se,gini_index,59.1
NAM,se,unemployment_pctg,20.3500003814697
NAM,se,happiness_score,4.639
NAM,se,happiness_rank,113
NAM,se,ggi_index,0.789
NAM,se,ggi_rank,10
NPL,se,gini_index,32.8
NPL,se,unemployment_pctg,4.44000005722046
NPL,se,happiness_score,4.913
NPL,se,happiness_rank,100
NPL,se,ggi_index,0.671
NPL,se,ggi_rank,105
NLD,se,gini_index,28.5
NLD,se,unemployment_pctg,4.09000015258789
NLD,se,happiness_score,7.488
NLD,se,happiness_rank,5
NLD,se,ggi_index,0.747
NLD,se,ggi_rank,27
NZL,se,unemployment_pctg,4.55000019073486
NZL,se,happiness_score,7.307
NZL,se,happiness_rank,8
NZL,se,ggi_index,0.801
NZL,se,ggi_rank,7
NIC,se,gini_index,46.2
NIC,se,unemployment_pctg,5.82000017166138
NIC,se,happiness_score,6.105
NIC,se,happiness_rank,45
NIC,se,ggi_index,0.809
NIC,se,ggi_rank,5
NGA,se,gini_index,35.1
NGA,se,unemployment_pctg,9.01000022888184
NGA,se,happiness_score,5.265
NGA,se,happiness_rank,85
NGA,se,ggi_index,0.621
NGA,se,ggi_rank,133
MKD,se,gini_index,34.2
MKD,se,unemployment_pctg,18.3999996185303
MKD,se,happiness_score,5.274
MKD,se,happiness_rank,84
MKD,se,ggi_index,0.707
MKD,se,ggi_rank,66
NOR,se,gini_index,27
NOR,se,unemployment_pctg,4.61999988555908
NOR,se,happiness_score,7.554
NOR,se,happiness_rank,3
NOR,se,ggi_index,0.835
NOR,se,ggi_rank,2
OMN,se,unemployment_pctg,4.96999979019165
OMN,se,ggi_index,0.605
OMN,se,ggi_rank,139
PAK,se,gini_index,33.5
PAK,se,unemployment_pctg,4.65000009536743
PAK,se,happiness_score,5.653
PAK,se,happiness_rank,67
PAK,se,ggi_index,0.55
PAK,se,ggi_rank,148
PAN,se,gini_index,49.2
PAN,se,unemployment_pctg,10.2299995422363
PAN,se,happiness_score,6.321
PAN,se,happiness_rank,31
PAN,se,ggi_index,0.722
PAN,se,ggi_rank,45
PRY,se,gini_index,46.2
PRY,se,unemployment_pctg,7.6100001335144
PRY,se,happiness_score,5.743
PRY,se,happiness_rank,63
PRY,se,ggi_index,0.672
PRY,se,ggi_rank,104
PER,se,gini_index,42.8
PER,se,unemployment_pctg,6.23999977111816
PER,se,happiness_score,5.697
PER,se,happiness_rank,65
PER,se,ggi_index,0.72
PER,se,ggi_rank,52
PHL,se,gini_index,44.4
PHL,se,unemployment_pctg,3.35999989509583
PHL,se,happiness_score,5.631
PHL,se,happiness_rank,69
PHL,se,ggi_index,0.799
PHL,se,ggi_rank,8
POL,se,gini_index,29.7
POL,se,unemployment_pctg,3.54999995231628
POL,se,happiness_score,6.182
POL,se,happiness_rank,40
POL,se,ggi_index,0.728
POL,se,ggi_rank,42
PRT,se,gini_index,33.8
PRT,se,unemployment_pctg,7.19999980926514
PRT,se,happiness_score,5.693
PRT,se,happiness_rank,66
PRT,se,ggi_index,0.732
PRT,se,ggi_rank,37
PRI,se,unemployment_pctg,11.1700000762939
QAT,se,unemployment_pctg,3.45000004768372
QAT,se,happiness_score,6.374
