country_code,year,gdp_us,gdp_growth_annual,gdp_per_capita_us,gdp_per_capita_growth_annual,gdp_per_capita_ppp,gdp_ppp
SLV,2011,20283790000,3.81535613789634,3266.01206202074,3.36915809266299,6465.81063583688,40156356628.9882
SLV,2012,21386140000,2.81439012871923,3428.4071797616,2.3635208823416902,6541.21205662045,40803577135.87
SLV,2013,21990970000,2.23572988800409,3509.53149262616,1.77649003125853,6877.15608805766,43092741448.6954
SLV,2014,22593480000,1.71122320586494,3589.04219262897,1.24172922195929,7233.19382659099,45533880987.2001
SLV,2015,23438240000,2.39502829799937,3705.57794598177,1.90943445528153,7597.68556994058,48056303342.8848
SLV,2016,24191440000,2.54653313501558,3805.99366628473,2.04608956234658,8038.62552899494,51094653385.7425
SLV,2017,24979200000,2.24994225188968,3910.25719295906,1.73807806030517,8454.05819814848,54005555164.8727
SLV,2018,26117400000,2.43096049921077,4067.65944881154,1.91053750875901,8825.45174942152,56665966367.3877
SLV,2019,27022640000,2.38236290798393,4187.2500311069,1.86186467319015,9164.34612258003,59142593412.4147
SLV,2020,NA,NA,NA,NA,NA,NA
ERI,2010,1589515447.15447,2.1941905448334,501.355633266246,0.565915707035998,1485.19843501387,4708725100.31321
ERI,2011,2065001626.01626,8.67979993646819,642.507659063694,7.20760526587554,1625.50615569996,5224331270.24732
ERI,2012,NA,NA,NA,NA,NA,NA
ERI,2013,NA,NA,NA,NA,NA,NA
ERI,2014,NA,NA,NA,NA,NA,NA
ERI,2015,NA,NA,NA,NA,NA,NA
ERI,2016,NA,NA,NA,NA,NA,NA
ERI,2017,NA,NA,NA,NA,NA,NA
ERI,2018,NA,NA,NA,NA,NA,NA
ERI,2019,NA,NA,NA,NA,NA,NA
ERI,2020,NA,NA,NA,NA,NA,NA
EST,2010,19693608289.0773,2.69032839901406,14790.8209234701,2.92478912740401,21811.5118981424,29041482804.5792
EST,2011,23391530006.3166,7.44393610392831,17621.5479628944,7.77061305564921,24777.4689285257,32890578577.0133
EST,2012,23192708981.8446,3.12484637290247,17534.421349913,3.49463742568155,26190.552660838,34642139242.2797
EST,2013,25271406707.566,1.34618473238244,19174.1003261509,1.7075100783866,27642.584786115,36432843820.3452
EST,2014,26773473625.1921,2.98732482453686,20367.103161316,3.25776991792985,29135.7051198125,38300195486.724
EST,2015,23048864242.6072,1.84488667705067,17522.230186252,1.77814665490116,29389.2553208368,38658832173.816
EST,2016,24259552888.9717,3.18781708302028,18437.2528207173,3.15778118523811,31577.0688451249,41548791415.7268
EST,2017,26951648828.5789,5.49915471010711,20458.4607286705,5.37150350695912,33964.3141525902,44744044035.5959
EST,2018,30631142226.8533,4.35546476501582,23170.7073775514,3.99289820775672,37473.2547812386,49538780935.9374
