Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2269525779.39288,2622336147.88082,2526185314.17438,2421470018.23985,2499803984.26198,2372280102.51667,2165408359.1668,2405289384.40985,2575892261.54044,2376328637.26318,..
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,1998000000,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,3264000000,3070518100,..
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,74773444900.5368,34699395523.6073,81873662518.8238,65502870173.7831,41142722414.3351,27842131479.8726,26197143268.1243,37883243650.452,52607888717.9487,52091152228.3425,..
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,5082366478.08994,5739977477.47748,5456009384.66461,6391735893.83968,6657170923.37918,6268391521.19701,6237264055.20601,6552858738.70214,6876981286.43011,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,37138464732.9838,43582248869.6143,42943442157.7701,46514471181.9327,48574531941.9167,41418872976.1196,43018087237.5741,47758736931.7801,53722883091.3513,54627411860.4705,..
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66103853236.7572,57744457954.7297,60691483443.1221,64181944722.7283,70919958015.5247,71104919108.1411,..
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,28123640998.7253,36709860068.3445,43031577366.4251,51552075901.5183,55347998647.8196,45361678146.5247,45387299721.0792,50751059058.0613,55084050789.7182,53859116535.5306,..
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,9982711030.26388,11551821062.3334,11578978052.8789,12423557906.9182,12522959157.2295,11323023786.5698,11848615018.4137,13176313233.1978,13853433947.6241,14114631280.6774,..
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,6959655570.89098,8004000737.30717,6028487928.83351,5518880768.57955,6047813437.31804,6373212640.84604,5433040159.88747,6303292264.18905,6917301908.62757,7666704427.00915,..
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,301354803994.367,301255380276.258,319112136545.438,358715057123.739,364681367531.684,..
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,2588176054.6875,2774351760.03287,2886170571.69634,3295011381.75405,3697351594.22359,4109447297.00709,4379115587.82957,4754352301.4104,5299773145.08744,5642179170.45898,..
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,10689167195.3375,12995074801.061,12441946098.4018,13242680704.5961,14364859445.8846,13104802016.2041,14025944550.3788,15365627045.0866,17070758732.1991,17279566718.6087,..
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,9035932177.77961,9638916472.1536,9462238256.97848,10551661220.181,11626281449.5909,11091434435.2345,11665231192.2959,13146963159.1185,14750790658.4025,14989415684.1203,..
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,162164700,174332100,182874800,187707400,184689500,184599600,200558400,212881000,221278000,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,5628882266.37767,6764635686.79345,6728208836.22143,7223063169.72749,6592537781.81518,6166857628.62212,6398744505.08129,6758390728.71734,7049169770.86399,7600656943.97506,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,10003670690.3497,11518393367.2403,11668685524.1265,12129642296.4425,12803445933.5894,11692287066.381,12232463655.5727,13259351418.4459,14181951058.5129,14048430518.5561,..
